fips,year,quarter,quarter_num,period_index,total_ed_encounters,treat_and_release_ed,ed_encounters_requiring,ed_encounters_admitted_as,facility_count,component_gap,county_name,lat,lon,target_lag1,target_lag2,target_lag3,target_lag4,target_roll4,facility_count_lag1,acs_lag2_population,acs_lag2_median_income,acs_lag2_poverty_rate,acs_lag2_pct_under5,acs_lag2_pct_65plus,acs_source_year,acs_lag2_population_100k,weather_lag4_days_observed,weather_lag4_tavg_mean,weather_lag4_precip_total,weather_lag4_snowfall_total,weather_lag4_hot_days,weather_lag4_freeze_days,weather_lag4_wet_days,weather_source_year,is_covid,post_covid,quarter_Q2,quarter_Q3,quarter_Q4,is_nyc,is_downstate_non_nyc,region,facility_ed_encounters_per_100k_proxy
36015,2018,Q2,2,8074,9895.0,8253.0,44.0,1598.0,2,0.0,Chemung County,42.148697,-76.752471,9699.0,,,,,2.0,87742.0,49578.0,15.936105636102008,5.891135374165167,16.79013471313624,2016,0.87742,91,56.95714285714286,13.571,2.0119999999999996,0,4,51,2017,0,0,1,0,0,0,0,upstate,11277.381413690136
36017,2018,Q2,2,8074,4271.0,,,,1,,Chenango County,42.478024,-75.602241,4312.0,,,,,1.0,49286.0,46979.0,15.38715127539457,5.242868157286044,18.836992249320296,2016,0.49286,91,54.72582417582418,16.216,1.984,0,12,59,2017,0,0,1,0,0,0,0,upstate,8665.746865235564
36019,2018,Q2,2,8074,10736.0,9148.0,124.0,1464.0,1,0.0,Clinton County,44.752712,-73.705643,10914.0,,,,,1.0,81505.0,50502.0,16.136929291280754,4.796024783755598,15.122998589043618,2016,0.81505,91,50.98626373626374,15.699,6.752000000000001,0,17,67,2017,0,0,1,0,0,0,0,upstate,13172.198024661064
36021,2018,Q2,2,8074,6557.0,5496.0,53.0,1008.0,1,0.0,Columbia County,42.247696,-73.626718,6349.0,,,,,1.0,61860.0,59916.0,12.699340402438006,4.321047526673133,20.68703524086647,2016,0.6186,91,57.856043956043955,13.422,0.772,0,4,48,2017,0,0,1,0,0,0,0,upstate,10599.741351438732
36023,2018,Q2,2,8074,7305.0,6536.0,59.0,710.0,1,0.0,Cortland County,42.594039,-76.07624,7444.0,,,,,1.0,48713.0,50910.0,13.751937984496124,4.834438445589473,15.178699731077947,2016,0.48713,91,55.00164835164835,16.079,3.4730000000000003,0,11,61,2017,0,0,1,0,0,0,0,upstate,14995.996961796645
36025,2018,Q2,2,8074,6203.0,6148.0,0.0,55.0,4,0.0,Delaware County,42.193986,-74.966728,5796.0,,,,,4.0,46480.0,46055.0,15.852524106636414,4.39328743545611,22.018072289156628,2016,0.4648,91,53.51703296703297,16.169,1.6809999999999998,0,12,64,2017,0,0,1,0,0,0,0,upstate,13345.52495697074
36027,2018,Q2,2,8074,31029.0,25369.0,340.0,5320.0,3,0.0,Dutchess County,41.754825,-73.740014,30906.0,,,,,3.0,295905.0,72706.0,9.153345937893892,4.709957587739308,15.468140112536119,2016,2.95905,91,57.860989010989016,12.068,0.46900000000000003,0,2,55,2017,0,0,1,0,0,0,0,upstate,10486.135753028844
36029,2018,Q2,2,8074,97420.0,76106.0,703.0,18084.0,10,2527.0,Erie County,42.752759,-78.778192,100092.0,,,,,10.0,922129.0,52744.0,14.740195022539087,5.380592086356681,16.53716562433239,2016,9.22129,91,57.68681318681319,16.062,4.602,0,1,54,2017,0,0,1,0,0,0,0,upstate,10564.682381749191
36031,2018,Q2,2,8074,3940.0,2216.0,0.0,0.0,3,1724.0,Essex County,44.109601,-73.778431,4186.0,,,,,3.0,38598.0,53244.0,10.072540007752368,4.0623866521581435,21.083993989325872,2016,0.38598,91,47.66428571428571,15.67,10.059,0,21,67,2017,0,0,1,0,0,0,0,upstate,10207.782786672886
36033,2018,Q2,2,8074,6181.0,5581.0,49.0,551.0,2,0.0,Franklin County,44.594376,-74.31067,6092.0,,,,,2.0,51007.0,49782.0,19.230429404488426,5.00127433489521,14.929323426196403,2016,0.51007,91,51.066483516483515,17.714,8.545,0,16,67,2017,0,0,1,0,0,0,0,upstate,12117.944595839786
